Time,Node,X,Y,ElectricField,MagneticField
0.01,48,0.888889,0.444444,0,0
0.01,49,1,0.444444,0,0
0.01,50,0,0.555556,0,0
0.01,51,0.111111,0.555556,0,0
0.01,52,0.222222,0.555556,0,0
0.01,53,0.333333,0.555556,0,0
0.01,54,0.444444,0.555556,0,0
0.01,55,0.555556,0.555556,0,0
0.01,56,0.666667,0.555556,0,0
0.01,57,0.777778,0.555556,0,0
0.01,58,0.888889,0.555556,0,0
0.01,59,1,0.555556,0,0
0.01,60,0,0.666667,0,0
0.01,61,0.111111,0.666667,0,0
0.01,62,0.222222,0.666667,0,0
0.01,63,0.333333,0.666667,0,0
0.01,64,0.444444,0.666667,0,0
0.01,65,0.555556,0.666667,0,0
0.01,66,0.666667,0.666667,0,0
0.01,67,0.777778,0.666667,0,0
0.01,68,0.888889,0.666667,0,0
0.01,69,1,0.666667,0,0
0.01,70,0,0.777778,0,0
0.01,71,0.111111,0.777778,0,0
0.01,72,0.222222,0.777778,0,0
0.01,73,0.333333,0.777778,0,0
0.01,74,0.444444,0.777778,0,0
0.01,75,0.555556,0.777778,0,0
0.01,76,0.666667,0.777778,0,0
0.01,77,0.777778,0.777778,0,0
0.01,78,0.888889,0.777778,0,0
0.01,79,1,0.777778,0,0
0.01,80,0,0.888889,0,0
0.01,81,0.111111,0.888889,0,0
0.01,82,0.222222,0.888889,0,0
0.01,83,0.333333,0.888889,0,0
0.01,84,0.444444,0.888889,0,0
0.01,85,0.555556,0.888889,0,0
0.01,86,0.666667,0.888889,0,0
0.01,87,0.777778,0.888889,0,0
0.01,88,0.888889,0.888889,0,0
0.01,89,1,0.888889,0,0
0.01,90,0,1,0,0
0.01,91,0.111111,1,0,0
0.01,92,0.222222,1,0,0
0.01,93,0.333333,1,0,0
0.01,94,0.444444,1,0,0
0.01,95,0.555556,1,0,0
0.01,96,0.666667,1,0,0
0.01,97,0.777778,1,0,0
0.01,98,0.888889,1,0,0
0.01,99,1,1,0,0
0.02,0,0,0,0,0
0.02,1,0.111111,0,0,0
0.02,2,0.222222,0,0,0
0.02,3,0.333333,0,0,0
0.02,4,0.444444,0,0,0
0.02,5,0.555556,0,0,0
0.02,6,0.666667,0,0,0
0.02,7,0.777778,0,0,0
0.02,8,0.888889,0,0,0
0.02,9,1,0,0,0
0.02,10,0,0.111111,0,0
0.02,11,0.111111,0.111111,0,0
0.02,12,0.222222,0.111111,0,0
0.02,13,0.333333,0.111111,0,0
0.02,14,0.444444,0.111111,0,0
0.02,15,0.555556,0.111111,0,0
0.02,16,0.666667,0.111111,0,0
0.02,17,0.777778,0.111111,0,0
0.02,18,0.888889,0.111111,0,0
0.02,19,1,0.111111,0,0
0.02,20,0,0.222222,0,0
0.02,21,0.111111,0.222222,0,0
0.02,22,0.222222,0.222222,0,0
0.02,23,0.333333,0.222222,0,0
0.02,24,0.444444,0.222222,0,0
0.02,25,0.555556,0.222222,0,0
0.02,26,0.666667,0.222222,0,0
0.02,27,0.777778,0.222222,0,0
0.02,28,0.888889,0.222222,0,0
0.02,29,1,0.222222,0,0
0.02,30,0,0.333333,0,0
0.02,31,0.111111,0.333333,0,0
0.02,32,0.222222,0.333333,0,0
0.02,33,0.333333,0.333333,0,0
0.02,34,0.444444,0.333333,0,0
0.02,35,0.555556,0.333333,0,0
0.02,36,0.666667,0.333333,0,0
0.02,37,0.777778,0.333333,0,0
0.02,38,0.888889,0.333333,0,0
0.02,39,1,0.333333,0,0
0.02,40,0,0.444444,0,0
0.02,41,0.111111,0.444444,0,0
0.02,42,0.222222,0.444444,0,0
0.02,43,0.333333,0.444444,0,0
0.02,44,0.444444,0.444444,0,0
0.02,45,0.555556,0.444444,0,0
0.02,46,0.666667,0.444444,0,0
0.02,47,0.777778,0.444444,0,0
0.02,48,0.888889,0.444444,0,0
0.02,49,1,0.444444,0,0
0.02,50,0,0.555556,0,0
0.02,51,0.111111,0.555556,0,0
0.02,52,0.222222,0.555556,0,0
0.02,53,0.333333,0.555556,0,0
0.02,54,0.444444,0.555556,0,0
0.02,55,0.555556,0.555556,0,0
0.02,56,0.666667,0.555556,0,0
0.02,57,0.777778,0.555556,0,0
0.02,58,0.888889,0.555556,0,0
0.02,59,1,0.555556,0,0
0.02,60,0,0.666667,0,0
0.02,61,0.111111,0.666667,0,0
0.02,62,0.222222,0.666667,0,0
0.02,63,0.333333,0.666667,0,0
0.02,64,0.444444,0.666667,0,0
0.02,65,0.555556,0.666667,0,0
0.02,66,0.666667,0.666667,0,0
0.02,67,0.777778,0.666667,0,0
0.02,68,0.888889,0.666667,0,0
0.02,69,1,0.666667,0,0
0.02,70,0,0.777778,0,0
0.02,71,0.111111,0.777778,0,0
0.02,72,0.222222,0.777778,0,0
0.02,73,0.333333,0.777778,0,0
0.02,74,0.444444,0.777778,0,0
0.02,75,0.555556,0.777778,0,0
0.02,76,0.666667,0.777778,0,0
0.02,77,0.777778,0.777778,0,0
0.02,78,0.888889,0.777778,0,0
0.02,79,1,0.777778,0,0
0.02,80,0,0.888889,0,0
0.02,81,0.111111,0.888889,0,0
0.02,82,0.222222,0.888889,0,0
0.02,83,0.333333,0.888889,0,0
0.02,84,0.444444,0.888889,0,0
0.02,85,0.555556,0.888889,0,0
0.02,86,0.666667,0.888889,0,0
0.02,87,0.777778,0.888889,0,0
0.02,88,0.888889,0.888889,0,0
0.02,89,1,0.888889,0,0
0.02,90,0,1,0,0
0.02,91,0.111111,1,0,0
0.02,92,0.222222,1,0,0
0.02,93,0.333333,1,0,0
0.02,94,0.444444,1,0,0
0.02,95,0.555556,1,0,0
0.02,96,0.666667,1,0,0
0.02,97,0.777778,1,0,0
0.02,98,0.888889,1,0,0
0.02,99,1,1,0,0
0.03,0,0,0,0,0
0.03,1,0.111111,0,0,0
0.03,2,0.222222,0,0,0
0.03,3,0.333333,0,0,0
0.03,4,0.444444,0,0,0
0.03,5,0.555556,0,0,0
0.03,6,0.666667,0,0,0
0.03,7,0.777778,0,0,0
0.03,8,0.888889,0,0,0
0.03,9,1,0,0,0
0.03,10,0,0.111111,0,0
0.03,11,0.111111,0.111111,0,0
0.03,12,0.222222,0.111111,0,0
0.03,13,0.333333,0.111111,0,0
0.03,14,0.444444,0.111111,0,0
0.03,15,0.555556,0.111111,0,0
0.03,16,0.666667,0.111111,0,0
0.03,17,0.777778,0.111111,0,0
0.03,18,0.888889,0.111111,0,0
0.03,19,1,0.111111,0,0
0.03,20,0,0.222222,0,0
0.03,21,0.111111,0.222222,0,0
0.03,22,0.222222,0.222222,0,0
0.03,23,0.333333,0.222222,0,0
0.03,24,0.444444,0.222222,0,0
0.03,25,0.555556,0.222222,0,0
0.03,26,0.666667,0.222222,0,0
0.03,27,0.777778,0.222222,0,0
0.03,28,0.888889,0.222222,0,0
0.03,29,1,0.222222,0,0
0.03,30,0,0.333333,0,0
0.03,31,0.111111,0.333333,0,0
0.03,32,0.222222,0.333333,0,0
0.03,33,0.333333,0.333333,0,0
0.03,34,0.444444,0.333333,0,0
0.03,35,0.555556,0.333333,0,0
0.03,36,0.666667,0.333333,0,0
